333	16.6455424	68.3879974	[]
334	16.6450674	68.3878371	[]
335	16.6440851	68.3877532	[]
336	16.6419871	68.3878371	[]
337	16.6411059	68.3878448	[]
338	16.6396506	68.387738	[]
339	16.6363985	68.3873946	[]
340	16.6352827	68.387303	[]
341	16.6337517	68.3873715	[]
342	16.6330128	68.3868713	[]
343	16.6314678	68.3862686	[]
344	16.6289177	68.3853531	[]
345	16.6264439	68.3844681	[]
346	16.6252613	68.3840485	[]
347	16.6243801	68.3838425	[]
348	16.6234665	68.3837051	[]
349	16.622757	68.3834534	[]
350	16.6217403	68.3829803	[]
351	16.6209278	68.3827515	[]
352	16.6197758	68.3825836	[]
353	16.6185226	68.3823013	[]
354	16.6178131	68.381958	[]
355	16.6170349	68.3813095	[]
356	16.6164589	68.3809128	[]
357	16.6157131	68.3805771	[]
358	16.6143265	68.3801346	[]
359	16.6127663	68.3796463	[]
360	16.655632	68.4067078	[]
362	16.6549873	68.4072037	[]
363	16.6543121	68.4080353	[]
364	16.6534996	68.4090652	[]
365	16.6526852	68.4104385	[]
366	16.6522789	68.4112549	[]
367	16.6521797	68.4115906	[]
368	16.6523132	68.4119034	[]
369	16.6525173	68.4122391	[]
370	16.6525173	68.4124374	[]
371	16.6523819	68.4127502	[]
372	16.6523476	68.4129639	[]
373	16.652586	68.4132538	[]
374	16.6562405	68.4064255	[]
375	16.6571884	68.4061737	[]
376	16.6558342	68.4062805	[]
377	16.6553593	68.4059601	[]
378	16.6550217	68.4056778	[]
379	16.6548271	68.4055236	[]
380	16.6545811	68.4050293	[]
381	16.6543121	68.4044418	[]
382	16.6645679	68.4047852	[]
383	16.6532612	68.4139023	[]
384	16.6538715	68.4145126	[]
385	16.6539726	68.4146652	[]
386	16.6537685	68.4148483	[]
387	16.6526184	68.4152756	[]
388	16.651535	68.4156189	[]
389	16.6511288	68.4158478	[]
390	16.6507225	68.4161987	[]
391	16.6501122	68.4164429	[]
392	16.6491299	68.4165573	[]
393	16.6482182	68.4165802	[]
394	16.6470318	68.4164581	[]
395	16.6460094	68.4162521	[]
396	16.6452274	68.4160461	[]
397	16.6444454	68.415947	[]
398	16.6437035	68.415947	[]
399	16.6428814	68.4161224	[]
400	16.6419544	68.4164352	[]
402	16.6412411	68.4171295	[]
403	16.6408691	68.4173355	[]
404	16.6399097	68.417572	[]
405	16.6379242	68.4180756	[]
406	16.6371803	68.4182587	[]
407	16.636358	68.4184097	[]
408	16.6341667	68.4187241	[]
410	16.629528	68.4194183	[]
411	16.6235352	68.4197159	[]
412	16.617031	68.4181057	[]
413	16.6275978	68.4196306	[]
414	16.6255665	68.4196973	[]
415	16.6216393	68.4195557	[]
416	16.6203518	68.4192886	[]
417	16.619709	68.4190674	[]
418	16.6189976	68.4186783	[]
419	16.6182919	68.4183807	[]
420	16.6172846	68.4176091	[]
421	16.6141491	68.4177628	[]
422	16.6104336	68.417244	[]
423	16.6069164	68.4167557	[]
424	16.6058998	68.4165726	[]
425	16.6047115	68.4162445	[]
426	16.6026154	68.4157028	[]
428	16.597456	68.4148331	[]
429	16.6234341	68.4191437	[]
430	16.6233311	68.4188385	[]
431	16.6226711	68.4180222	[]
432	16.6220455	68.4174423	[]
433	16.6216545	68.4170837	[]
434	16.6217079	68.4166641	[]
435	16.6222153	68.4159698	[]
436	16.6225185	68.4155426	[]
437	16.6224174	68.4150162	[]
438	16.6217079	68.4143677	[]
439	16.6207924	68.4137573	[]
440	16.620182	68.4134903	[]
441	16.6198101	68.4132614	[]
442	16.6192017	68.4125671	[]
443	16.6189651	68.4123611	[]
444	16.6187954	68.4116592	[]
445	16.618763	68.4114151	[]
446	16.6183224	68.410881	[]
447	16.617712	68.4103546	[]
448	16.6172047	68.4101334	[]
449	16.616188	68.4099884	[]
450	16.6148014	68.4098816	[]
451	16.6138859	68.4097748	[]
452	16.6130733	68.4094238	[]
453	16.6119556	68.4088745	[]
454	16.6114826	68.4085236	[]
455	16.6102638	68.4080124	[]
456	16.6092472	68.4075394	[]
457	16.6088409	68.407196	[]
458	16.6089096	68.4066162	[]
459	16.6091118	68.406105	[]
460	16.6090794	68.4057236	[]
461	16.6083679	68.4051971	[]
462	16.6072502	68.4047165	[]
463	16.6062679	68.4042435	[]
464	16.605793	68.4038315	[]
